id_student,code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,date_registration,has_unregistered,average_score,assessment_and_feedback_sum_click,content_resource_sum_click,interaction_and_discussion_sum_click,navigation_pages_sum_click,tool_sum_click,final_result
11391,AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,-159.0,0,82.4,0.0,18.0,746.0,170.0,0.0,Pass
28400,AAA,2013J,F,Scotland,HE Qualification,20-30%,35-55,0,60,-53.0,0,65.4,10.0,60.0,954.0,411.0,0.0,Pass
30268,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,-92.0,1,0.0,0.0,8.0,192.0,81.0,0.0,Withdrawn
31604,AAA,2013J,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,-52.0,0,76.3,2.0,109.0,1470.0,576.0,1.0,Pass
32885,AAA,2013J,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,-176.0,0,55.0,0.0,59.0,688.0,283.0,4.0,Pass
38053,AAA,2013J,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,-110.0,0,66.9,7.0,56.0,1775.0,603.0,4.0,Pass
45462,AAA,2013J,M,Scotland,HE Qualification,30-40%,0-35,0,60,-67.0,0,67.8,2.0,32.0,1040.0,418.0,0.0,Pass
45642,AAA,2013J,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,-29.0,0,72.5,4.0,72.0,937.0,415.0,0.0,Pass
52130,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,-33.0,0,71.2,8.0,147.0,1049.0,690.0,0.0,Pass
53025,AAA,2013J,M,North Region,Post Graduate Qualification,Missing,55<=,0,60,-179.0,0,79.0,3.0,88.0,2549.0,518.0,0.0,Pass
57506,AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,-103.0,0,74.0,5.0,76.0,738.0,492.0,8.0,Pass
58873,AAA,2013J,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,-47.0,0,73.7,8.0,84.0,1042.0,598.0,0.0,Pass
59185,AAA,2013J,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,-59.0,0,80.8,0.0,45.0,742.0,315.0,0.0,Pass
62155,AAA,2013J,F,North Western Region,HE Qualification,50-60%,0-35,0,60,-68.0,0,76.4,12.0,26.0,2776.0,574.0,0.0,Pass
63400,AAA,2013J,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,-67.0,0,71.2,25.0,135.0,1830.0,747.0,0.0,Pass
65002,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,-180.0,1,20.2,0.0,3.0,112.0,56.0,0.0,Withdrawn
70464,AAA,2013J,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,-95.0,0,53.5,1.0,37.0,703.0,310.0,2.0,Pass
71361,AAA,2013J,M,Ireland,HE Qualification,Missing,35-55,0,60,-130.0,0,79.7,3.0,129.0,1676.0,519.0,0.0,Pass
74372,AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,-50.0,0,32.8,0.0,3.0,57.0,56.0,0.0,Fail
75091,AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,-107.0,0,65.8,12.0,97.0,2105.0,778.0,0.0,Pass
77367,AAA,2013J,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,-27.0,0,69.5,0.0,35.0,329.0,316.0,0.0,Pass
91265,AAA,2013J,M,North Western Region,HE Qualification,0-10%,0-35,0,60,-31.0,0,69.0,8.0,48.0,898.0,540.0,0.0,Pass
94961,AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,-170.0,1,7.4,0.0,17.0,195.0,127.0,0.0,Withdrawn
98094,AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,-107.0,0,60.6,11.0,51.0,2102.0,675.0,0.0,Pass
100893,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,-62.0,0,68.7,4.0,28.0,484.0,228.0,0.0,Pass
101781,AAA,2013J,M,South Region,Lower Than A Level,80-90%,35-55,0,60,-103.0,0,71.6,17.0,183.0,2940.0,964.0,0.0,Pass
102806,AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,-107.0,0,76.0,3.0,17.0,1278.0,646.0,0.0,Pass
102952,AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,-100.0,0,77.1,5.0,47.0,824.0,274.0,0.0,Pass
104476,AAA,2013J,M,Ireland,Post Graduate Qualification,Missing,35-55,0,60,-109.0,0,78.9,10.0,188.0,3480.0,1099.0,0.0,Pass
106247,AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,60,5.0,1,29.3,0.0,19.0,290.0,156.0,0.0,Withdrawn
106577,AAA,2013J,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,-107.0,0,54.2,0.0,15.0,480.0,238.0,0.0,Pass
110175,AAA,2013J,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,-110.0,0,63.7,0.0,105.0,529.0,364.0,0.0,Pass
111717,AAA,2013J,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,-43.0,0,48.9,14.0,77.0,1602.0,649.0,1.0,Pass
113295,AAA,2013J,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,-26.0,0,77.3,16.0,148.0,2189.0,1200.0,0.0,Pass
114017,AAA,2013J,F,North Region,Post Graduate Qualification,Missing,35-55,0,60,-29.0,0,72.3,0.0,77.0,349.0,331.0,0.0,Pass
114999,AAA,2013J,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,-68.0,0,70.8,10.0,59.0,983.0,306.0,0.0,Pass
116541,AAA,2013J,M,Wales,HE Qualification,0-10%,0-35,0,60,-68.0,0,59.8,3.0,111.0,1221.0,551.0,0.0,Pass
116692,AAA,2013J,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,-32.0,0,74.2,0.0,57.0,624.0,427.0,0.0,Pass
118983,AAA,2013J,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,-99.0,0,59.0,0.0,19.0,160.0,105.0,0.0,Pass
123044,AAA,2013J,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,-82.0,0,70.7,3.0,104.0,1249.0,685.0,0.0,Pass
127582,AAA,2013J,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,-31.0,0,69.4,0.0,43.0,864.0,414.0,0.0,Pass
129955,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,-197.0,1,40.1,6.0,24.0,637.0,344.0,0.0,Withdrawn
132976,AAA,2013J,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,-75.0,0,67.3,6.0,9.0,360.0,145.0,0.0,Pass
134143,AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,-96.0,0,83.8,24.0,32.0,2100.0,576.0,0.0,Distinction
135335,AAA,2013J,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,-29.0,1,0.0,0.0,0.0,33.0,24.0,0.0,Withdrawn
135400,AAA,2013J,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,-32.0,1,17.4,0.0,15.0,170.0,102.0,0.0,Withdrawn
137873,AAA,2013J,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,-195.0,0,81.7,6.0,91.0,4192.0,1239.0,0.0,Pass
141355,AAA,2013J,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,-61.0,0,72.0,7.0,49.0,1415.0,352.0,0.0,Pass
141377,AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,-110.0,1,4.5,1.0,4.0,76.0,60.0,2.0,Withdrawn
142326,AAA,2013J,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,-37.0,0,75.3,18.0,118.0,1313.0,672.0,0.0,Pass
144801,AAA,2013J,F,South Region,HE Qualification,80-90%,35-55,0,60,-67.0,0,70.6,2.0,190.0,4099.0,1353.0,1.0,Pass
145130,AAA,2013J,M,South West Region,HE Qualification,60-70%,0-35,0,120,-36.0,0,53.2,0.0,10.0,319.0,123.0,0.0,Pass
146188,AAA,2013J,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,-132.0,0,48.8,0.0,18.0,388.0,191.0,0.0,Fail
147756,AAA,2013J,M,North Region,Lower Than A Level,60-70%,0-35,0,120,-92.0,0,51.3,0.0,15.0,370.0,226.0,0.0,Fail
147793,AAA,2013J,F,North Region,Lower Than A Level,80-90%,0-35,0,90,-138.0,1,5.2,0.0,1.0,101.0,53.0,0.0,Withdrawn
148993,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,-174.0,1,36.4,3.0,21.0,1384.0,455.0,1.0,Withdrawn
151358,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,-44.0,0,49.6,0.0,11.0,186.0,73.0,0.0,Pass
155550,AAA,2013J,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,-16.0,0,66.0,0.0,102.0,931.0,496.0,0.0,Pass
155854,AAA,2013J,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,-54.0,0,79.4,40.0,35.0,2843.0,1085.0,0.0,Pass
155984,AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,-64.0,1,23.5,1.0,57.0,586.0,264.0,0.0,Withdrawn
157568,AAA,2013J,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,-52.0,0,68.6,8.0,84.0,911.0,402.0,0.0,Pass
159954,AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,-46.0,1,20.1,0.0,44.0,809.0,331.0,1.0,Withdrawn
164259,AAA,2013J,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,-64.0,0,70.4,0.0,55.0,207.0,204.0,0.0,Pass
167906,AAA,2013J,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,-117.0,0,70.9,1.0,93.0,865.0,551.0,0.0,Pass
168936,AAA,2013J,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,-32.0,0,64.9,6.0,26.0,541.0,172.0,0.0,Pass
172112,AAA,2013J,M,Ireland,HE Qualification,Missing,35-55,0,60,-50.0,0,71.1,0.0,156.0,1265.0,517.0,1.0,Pass
172797,AAA,2013J,F,Ireland,A Level or Equivalent,Missing,35-55,0,60,-45.0,0,61.4,6.0,54.0,1128.0,593.0,1.0,Pass
174782,AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,-162.0,0,80.1,5.0,200.0,4527.0,1586.0,0.0,Pass
175392,AAA,2013J,M,North Region,HE Qualification,Missing,35-55,0,60,-195.0,0,81.7,6.0,197.0,3148.0,1096.0,0.0,Pass
175932,AAA,2013J,M,North Western Region,HE Qualification,70-80%,35-55,0,60,-92.0,0,78.8,13.0,36.0,1447.0,520.0,0.0,Pass
175991,AAA,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,-57.0,0,36.0,0.0,1.0,78.0,59.0,0.0,Fail
180753,AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,-64.0,0,51.7,9.0,66.0,1446.0,491.0,0.0,Pass
181316,AAA,2013J,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,-39.0,1,7.6,1.0,11.0,394.0,80.0,1.0,Withdrawn
183096,AAA,2013J,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,-128.0,0,54.0,3.0,110.0,1298.0,564.0,0.0,Pass
183947,AAA,2013J,M,London Region,A Level or Equivalent,10-20,0-35,0,180,-32.0,0,46.6,0.0,43.0,687.0,233.0,1.0,Pass
184271,AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,0,170,-74.0,0,58.7,18.0,20.0,932.0,341.0,1.0,Pass
185439,AAA,2013J,M,London Region,HE Qualification,10-20,0-35,0,120,-12.0,0,7.4,0.0,17.0,293.0,116.0,1.0,Fail
186149,AAA,2013J,M,Scotland,HE Qualification,30-40%,35-55,0,60,-109.0,0,75.6,4.0,118.0,1424.0,588.0,2.0,Pass
187100,AAA,2013J,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,-136.0,0,89.4,5.0,408.0,5295.0,2854.0,0.0,Distinction
188278,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,-57.0,1,7.6,0.0,67.0,871.0,496.0,0.0,Withdrawn
189879,AAA,2013J,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,-180.0,0,78.8,10.0,84.0,938.0,509.0,0.0,Pass
192183,AAA,2013J,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,-62.0,0,66.7,18.0,164.0,2125.0,912.0,0.0,Pass
195262,AAA,2013J,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,-45.0,1,10.0,10.0,52.0,1454.0,389.0,0.0,Withdrawn
200860,AAA,2013J,M,London Region,Lower Than A Level,50-60%,35-55,0,60,-54.0,0,50.8,0.0,18.0,249.0,267.0,0.0,Pass
202635,AAA,2013J,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,-73.0,1,33.2,0.0,19.0,1059.0,340.0,0.0,Withdrawn
205350,AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,0,60,-68.0,0,72.2,12.0,92.0,1140.0,421.0,0.0,Pass
205719,AAA,2013J,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,-51.0,0,27.3,0.0,16.0,206.0,111.0,0.0,Fail
227499,AAA,2013J,F,London Region,A Level or Equivalent,10-20,35-55,0,60,-169.0,0,83.5,10.0,121.0,2051.0,771.0,0.0,Distinction
227517,AAA,2013J,M,Ireland,HE Qualification,Missing,0-35,0,180,-172.0,0,61.7,0.0,27.0,847.0,331.0,0.0,Fail
228082,AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,-31.0,0,74.8,1.0,14.0,96.0,116.0,0.0,Pass
228222,AAA,2013J,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,-108.0,0,60.7,0.0,32.0,238.0,175.0,0.0,Pass
229179,AAA,2013J,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,-165.0,0,65.1,0.0,26.0,390.0,198.0,0.0,Pass
229361,AAA,2013J,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,-58.0,0,77.5,10.0,59.0,662.0,484.0,0.0,Pass
231554,AAA,2013J,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,-29.0,0,52.8,2.0,10.0,1456.0,371.0,0.0,Pass
